"","Terms","Docs","value","category"
"395","appeared","Cluster1",0,"0.25"
"396","appearing","Cluster1",0.00934579439252336,"0.25"
"397","appears","Cluster1",0.00934579439252336,"0.25"
"398","appeasement","Cluster1",0,"0.25"
"399","appertain","Cluster1",0,"0.25"
"400","applauded","Cluster1",0,"0.25"
"401","applicable","Cluster1",0.0186915887850467,"0.25"
"402","application","Cluster1",0.00934579439252336,"0.25"
"403","applied","Cluster1",0.00934579439252336,"0.25"
"404","applies","Cluster1",0,"0.25"
"405","apply","Cluster1",0.00934579439252336,"0.25"
"406","applying","Cluster1",0,"0.25"
"407","appoint","Cluster1",0.0186915887850467,"0.25"
"408","appointed","Cluster1",0.0186915887850467,"0.25"
"409","appointedfinally","Cluster1",0.00934579439252336,"0.25"
"410","appointee","Cluster1",0.00934579439252336,"0.25"
"411","appointing","Cluster1",0.00934579439252336,"0.25"
"412","appointment","Cluster1",0.0373831775700935,"0.25"
"413","appointments","Cluster1",0.00934579439252336,"0.25"
"414","appraise","Cluster1",0,"0.25"
"415","appreciate","Cluster1",0.00934579439252336,"0.25"
"416","appreciating","Cluster1",0,"0.25"
"417","appreciation","Cluster1",0.00934579439252336,"0.25"
"418","appreciative","Cluster1",0,"0.25"
"419","apprehend","Cluster1",0,"0.25"
"420","apprehension","Cluster1",0.0280373831775701,"0.25"
"421","apprehensions","Cluster1",0,"0.25"
"422","apprehensive","Cluster1",0,"0.25"
"423","approach","Cluster1",0.00934579439252336,"0.25"
"424","approached","Cluster1",0.00934579439252336,"0.25"
"425","approaches","Cluster1",0,"0.25"
"426","approaching","Cluster1",0,"0.25"
"427","approbation","Cluster1",0.0186915887850467,"0.25"
"428","appropriate","Cluster1",0,"0.25"
"429","appropriation","Cluster1",0,"0.25"
"430","appropriations","Cluster1",0.00934579439252336,"0.25"
"431","approval","Cluster1",0.0186915887850467,"0.25"
"432","approvalin","Cluster1",0.00934579439252336,"0.25"
"433","approve","Cluster1",0.00934579439252336,"0.25"
"434","approved","Cluster1",0.0186915887850467,"0.25"
"435","approvedthe","Cluster1",0.00934579439252336,"0.25"
"436","approving","Cluster1",0,"0.25"
"437","approximated","Cluster1",0,"0.25"
